Date : 2023-01-10 20:55:54
Directory : /Users/ethan/LocalFiles/ResearchFile/SystemicRisk
Total : 119 files,  7474 codes, 3036 comments, 1573 blanks, all 12083 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| JSON                  |          5 |      3,418 |          0 |        108 |      3,526 |
| Python                |         83 |      3,391 |      2,355 |      1,010 |      6,756 |
| Julia                 |         23 |        580 |        678 |        418 |      1,676 |
| Markdown              |          1 |         32 |          0 |         32 |         64 |
| JSON with Comments    |          1 |         26 |          3 |          1 |         30 |
| compressionTargetFile |          4 |         16 |          0 |          0 |         16 |
| R DCF                 |          1 |         10 |          0 |          4 |         14 |
| env                   |          1 |          1 |          0 |          0 |          1 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                           |        119 |      7,474 |      3,036 |      1,573 |     12,083 |
| . (Files)                                                                                                                                                   |          5 |         81 |          3 |         43 |        127 |
| .virtual_documents                                                                                                                                          |          1 |        129 |          0 |        106 |        235 |
| .virtual_documents/scripts                                                                                                                                  |          1 |        129 |          0 |        106 |        235 |
| .virtual_documents/scripts/IO                                                                                                                               |          1 |        129 |          0 |        106 |        235 |
| PyScripts                                                                                                                                                   |          7 |        907 |        264 |        161 |      1,332 |
| PyScripts/IO                                                                                                                                                |          2 |        734 |         85 |         99 |        918 |
| PyScripts/exp_raw                                                                                                                                           |          1 |         13 |         11 |         14 |         38 |
| PyScripts/include                                                                                                                                           |          1 |          2 |          9 |         12 |         23 |
| PyScripts/settings                                                                                                                                          |          3 |        158 |        159 |         36 |        353 |
| PySystemicRiskLab                                                                                                                                           |         74 |      3,001 |      2,058 |        821 |      5,880 |
| PySystemicRiskLab (Files)                                                                                                                                   |          1 |         21 |          4 |          6 |         31 |
